 Total Fwd Packets,Total Length of Fwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean,Bwd Packet Length Max, Bwd Packet Length Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags,FIN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Variance, Down/Up Ratio, Label
6.0,497.0,149.0,68.0,82.83333333333333,4532.0,68.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,68.0,4532.0,482.6363636363636,1804282.854545455,0.8333333333333334,Bruteforce
6.0,497.0,149.0,68.0,82.83333333333333,4532.0,68.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,68.0,4532.0,482.6363636363636,1804282.854545455,0.8333333333333334,Bruteforce
6.0,497.0,149.0,68.0,82.83333333333333,4532.0,68.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,68.0,4532.0,482.6363636363636,1804282.854545455,0.8333333333333334,Bruteforce
6.0,497.0,149.0,68.0,82.83333333333333,4532.0,68.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,68.0,4532.0,482.6363636363636,1804282.854545455,0.8333333333333334,Bruteforce
6.0,497.0,149.0,68.0,82.83333333333333,4532.0,68.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,68.0,4532.0,482.6363636363636,1804282.854545455,0.8333333333333334,Bruteforce
6.0,497.0,149.0,68.0,82.83333333333333,4532.0,68.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,68.0,4532.0,482.6363636363636,1804282.854545455,0.8333333333333334,Bruteforce
6.0,497.0,149.0,68.0,82.83333333333333,4532.0,68.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,68.0,4532.0,482.6363636363636,1804282.854545455,0.8333333333333334,Bruteforce
6.0,497.0,149.0,68.0,82.83333333333333,4532.0,68.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,68.0,4532.0,482.6363636363636,1804282.854545455,0.8333333333333334,Bruteforce
6.0,497.0,149.0,68.0,82.83333333333333,4532.0,68.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,68.0,4532.0,482.6363636363636,1804282.854545455,0.8333333333333334,Bruteforce
6.0,497.0,149.0,68.0,82.83333333333333,4532.0,68.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,68.0,4532.0,482.6363636363636,1804282.854545455,0.8333333333333334,Bruteforce
6.0,645.0,297.0,68.0,107.5,4708.0,68.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,68.0,4708.0,512.0909090909091,1941278.4909090912,0.8333333333333334,Bruteforce
6.0,497.0,149.0,68.0,82.83333333333333,4532.0,68.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,68.0,4532.0,482.6363636363636,1804282.854545455,0.8333333333333334,Bruteforce
6.0,497.0,149.0,68.0,82.83333333333333,4532.0,68.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,68.0,4532.0,482.6363636363636,1804282.854545455,0.8333333333333334,Bruteforce
6.0,497.0,149.0,68.0,82.83333333333333,4532.0,68.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,68.0,4532.0,482.6363636363636,1804282.854545455,0.8333333333333334,Bruteforce
6.0,497.0,149.0,68.0,82.83333333333333,4532.0,68.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,68.0,4532.0,482.6363636363636,1804282.854545455,0.8333333333333334,Bruteforce
6.0,497.0,149.0,68.0,82.83333333333333,4532.0,68.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,68.0,4532.0,482.6363636363636,1804282.854545455,0.8333333333333334,Bruteforce
6.0,497.0,149.0,68.0,82.83333333333333,4532.0,68.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,68.0,4532.0,482.6363636363636,1804282.854545455,0.8333333333333334,Bruteforce
6.0,497.0,149.0,68.0,82.83333333333333,4532.0,68.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,68.0,4532.0,482.6363636363636,1804282.854545455,0.8333333333333334,Bruteforce
6.0,497.0,149.0,68.0,82.83333333333333,4532.0,68.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,68.0,4532.0,482.6363636363636,1804282.854545455,0.8333333333333334,Bruteforce
6.0,644.0,296.0,68.0,107.33333333333331,4708.0,68.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,68.0,4708.0,512.0,1941321.6,0.8333333333333334,Bruteforce
