 Total Fwd Packets,Total Length of Fwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean,Bwd Packet Length Max, Bwd Packet Length Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags,FIN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Variance, Down/Up Ratio, Label
152773.0,28110108.0,312.0,56.0,183.99918833825348,60.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,56.0,312.0,142.66666666666666,21509.33333333333,0.4999901815111309,DoS
124758.0,77257920.0,1256.0,56.0,619.2622517193287,56.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,56.0,1256.0,511.8021417776365,457583.380732183,0.2357604321967328,DoS
84985.0,74721916.0,1444.0,120.0,879.2365240924869,56.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,56.0,1444.0,807.0198482132314,59476.02181760593,0.0961581455550979,DoS
141631.0,99976632.0,1256.0,120.0,705.8951218306727,56.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,56.0,1256.0,610.5765963343656,163104.37644189238,0.1718762135408208,DoS
178339.0,122976248.0,1256.0,56.0,689.5645259870247,60.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,56.0,1256.0,544.7170701771066,449925.4954884048,0.2974503613903857,DoS
151543.0,8486412.0,60.0,56.0,56.00002639514857,60.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,56.0,60.0,57.33346237088913,5.334037087863755,0.5000626884778577,DoS
185914.0,119418532.0,1256.0,56.0,642.3321105457362,60.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,56.0,1256.0,567.3084982756035,505167.9361659149,0.1478855815054272,DoS
125648.0,102523288.0,1444.0,120.0,815.9563860944862,56.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,56.0,1444.0,777.0810892449895,157305.68979619892,0.0539125175092321,DoS
141192.0,84669392.0,1256.0,56.0,599.6755623548077,60.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,56.0,1256.0,440.8832358127605,149579.7496913212,0.4137911496402062,DoS
97378.0,59774096.0,1256.0,120.0,613.835732917086,56.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,56.0,1256.0,511.1549947212307,15157.673380571505,0.2255951036168333,DoS
21007.0,2215036.0,291.0,68.0,105.44275717617936,1923.0,68.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,68.0,1923.0,245.0916083527713,283228.550107035,0.7142857142857143,Bruteforce
32224.0,3065258.0,304.0,68.0,95.12344836146973,4708.0,56.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,56.0,4708.0,497.3119318855054,1866239.060684653,0.8333229890764647,Bruteforce
2382.0,226472.0,305.0,68.0,95.07640638119229,4708.0,68.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,68.0,4708.0,497.2942523471491,1872623.5479734377,0.8333333333333334,Bruteforce
17332.0,1829610.0,291.0,68.0,105.56254327255942,1923.0,68.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,68.0,1923.0,245.16148357565967,283206.4067777941,0.7142857142857143,Bruteforce
2436.0,231354.0,301.0,68.0,94.97290640394088,4708.0,68.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,68.0,4708.0,497.179131213614,1872124.595073892,0.8333333333333334,Bruteforce
37332.0,3544815.0,307.0,68.0,94.95379299260688,4708.0,68.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,68.0,4708.0,497.24238040968993,1870383.4362358204,0.8333333333333334,Bruteforce
37398.0,3549572.0,310.0,68.0,94.91341782983048,4708.0,68.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,68.0,4708.0,497.2757157233072,1870005.5302400857,0.8334402909246483,Bruteforce
2430.0,231021.0,305.0,68.0,95.07037037037036,4708.0,68.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,68.0,4708.0,497.29135802469136,1872628.677216611,0.8333333333333334,Bruteforce
2436.0,231818.0,301.0,68.0,95.16338259441709,4708.0,68.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,68.0,4708.0,497.4012539184953,1873134.7634572329,0.8333333333333334,Bruteforce
16751.0,1767990.0,291.0,68.0,105.545340576682,1923.0,68.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,68.0,1923.0,245.1514486697312,283209.5773752992,0.7142857142857143,Bruteforce
186.0,36459.0,495.0,68.0,196.01612903225808,1932.0,68.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,68.0,1932.0,288.008064516129,289733.221652004,1.0,SQL_Injection
258.0,50371.0,495.0,68.0,195.2364341085272,1932.0,68.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,68.0,1932.0,287.61821705426354,289638.8032064834,1.0,SQL_Injection
5493.0,1104208.0,495.0,68.0,201.02093573639172,2010.0,68.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,68.0,2010.0,293.8897594752187,302818.7535128352,0.9981795011833242,SQL_Injection
6855.0,1379082.0,495.0,68.0,201.17899343544852,2010.0,68.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,68.0,2010.0,293.91241515217865,301884.6033321416,0.998687089715536,SQL_Injection
5138.0,1033062.0,495.0,68.0,201.0630595562476,2010.0,68.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,68.0,2010.0,293.7786645902278,302340.0497060378,0.9996107434799532,SQL_Injection
13999.0,2821604.0,495.0,68.0,201.5575398242732,2010.0,68.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,68.0,2010.0,293.72066440435793,301359.2875914007,0.9997856989784984,SQL_Injection
427.0,65597.0,611.0,68.0,153.62295081967213,1626.0,68.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,68.0,1626.0,266.9202813599062,241248.3104337848,0.9976580796252928,SQL_Injection
