 Total Fwd Packets,Total Length of Fwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean,Bwd Packet Length Max, Bwd Packet Length Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags,FIN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Variance, Down/Up Ratio, Label
203,43906,602,0,216.2857143,1068,0,0,0,0,0,0,0,1,0,0,0,1068,376.9123377,130055.3311,0,Web Attack � Brute Force
7,1022,372,0,146.0,1047,0,0,0,0,0,0,0,1,0,0,0,1047,222.8666667,109775.5524,1,Web Attack � Brute Force
203,43951,602,0,216.5073892,1068,0,0,0,0,0,0,0,1,0,0,0,1068,377.0811688,130083.2996,0,Web Attack � Brute Force
203,43906,602,0,216.2857143,1068,0,0,0,0,0,0,0,1,0,0,0,1068,376.8701299,129998.0873,0,Web Attack � Brute Force
4,341,341,0,85.25,506,0,0,0,0,0,0,0,1,0,0,0,506,94.11111111,36575.61111,1,Web Attack � Brute Force
203,43951,602,0,216.5073892,1067,0,0,0,0,0,0,0,1,0,0,0,1067,377.0974026,130104.9416,0,Web Attack � Brute Force
83,16995,602,0,204.7590361,7240,0,0,0,0,0,0,0,1,0,0,0,7240,424.992126,520296.6587,0,Web Attack � Brute Force
203,43906,602,0,216.2857143,1068,0,0,0,0,0,0,0,1,0,0,0,1068,376.9253247,130073.1377,0,Web Attack � Brute Force
7,973,565,0,139.0,1066,0,0,0,0,0,0,0,1,0,0,0,1066,200.25,115758.2045,0,Web Attack � Brute Force
203,43906,602,0,216.2857143,1068,0,0,0,0,0,0,0,1,0,0,0,1068,376.8571429,129981.6733,0,Web Attack � Brute Force
2,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0,Web Attack � XSS
203,48985,585,0,241.3054187,1869,0,0,0,0,0,0,0,1,0,0,0,1869,755.4577922,597219.1937,0,Web Attack � XSS
203,48783,585,0,240.3103448,1869,0,0,0,0,0,0,0,1,0,0,0,1869,749.5967742,588817.8401,0,Web Attack � XSS
204,48985,585,0,240.122549,1870,0,0,0,0,0,0,0,1,0,0,0,1870,752.9838188,597062.1199,0,Web Attack � XSS
3,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0,Web Attack � XSS
203,48985,585,0,241.3054187,1869,0,0,0,0,0,0,0,1,0,0,0,1869,755.4350649,597168.7808,0,Web Attack � XSS
212,48783,585,0,230.1084906,1869,0,0,0,0,0,0,0,1,0,0,0,1869,728.4231975,587550.0059,0,Web Attack � XSS
204,48695,585,0,238.7009804,1869,0,0,0,0,0,0,0,1,0,0,0,1869,748.9870968,592098.906,0,Web Attack � XSS
203,48783,585,0,240.3103448,1870,0,0,0,0,0,0,0,1,0,0,0,1870,730.7830189,557204.5237,0,Web Attack � XSS
9,1675,559,0,186.1111111,3076,0,0,0,0,0,0,0,1,0,0,0,3076,430.7058824,614893.2206,0,Web Attack � XSS
5,599,599,0,119.8,2021,0,0,0,0,0,0,0,1,0,0,0,2021,291.1111111,460066.3611,0,Web Attack � Sql Injection
5,537,537,0,107.4,1881,0,0,0,0,0,0,0,1,0,0,0,1881,268.6666667,397111.75,0,Web Attack � Sql Injection
4,447,447,0,111.75,530,0,0,0,0,0,0,0,1,0,0,0,530,108.5555556,46831.27778,1,Web Attack � Sql Injection
4,536,536,0,134.0,1840,0,0,0,0,0,0,0,1,0,0,0,1840,264.0,380704.0,1,Web Attack � Sql Injection
5,600,600,0,120.0,4149,0,0,0,0,0,0,0,1,0,0,0,4149,474.9,1702100.1,0,Web Attack � Sql Injection
4,460,460,0,115.0,1840,0,0,0,0,0,0,0,1,0,0,0,1840,255.5555556,376177.7778,1,Web Attack � Sql Injection
2,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.0,0.0,0,Web Attack � Sql Injection
5,599,599,0,119.8,2701,0,0,0,0,0,0,0,1,0,0,0,2701,431.6363636,770149.6545,1,Web Attack � Sql Injection
4,537,537,0,134.25,1881,0,0,0,0,0,0,0,1,0,0,0,1881,268.6666667,397111.75,1,Web Attack � Sql Injection
4,523,523,0,130.75,530,0,0,0,0,0,0,0,1,0,0,0,530,117.0,53903.5,1,Web Attack � Sql Injection
2,66,60,6,33.0,6,6,0,0,0,0,0,0,0,1,0,6,60,19.5,729.0,0,Infiltration
504,171452,1027,6,340.1825397,6,6,0,0,0,0,0,0,0,1,0,6,1027,172.925669,54995.47562,1,Infiltration
34,13504,1460,6,397.1764706,6,6,1,0,0,0,0,0,0,1,0,6,1460,204.9552239,168434.0131,0,Infiltration
45,15754,1460,6,350.0888889,6,6,1,0,0,0,0,0,0,1,0,6,1460,186.3953488,162089.7948,0,Infiltration
2,101,95,6,50.5,6,6,0,0,0,0,0,0,0,1,0,6,95,28.25,1980.25,0,Infiltration
26,6674,1164,6,256.6923077,6,6,1,0,0,0,0,0,0,1,0,6,1164,130.0,80216.84615,1,Infiltration
20,3737,705,6,186.85,6,6,1,0,0,0,0,0,0,1,0,6,705,94.95121951,32776.74756,1,Infiltration
1031,307939,1271,6,298.6799224,6,6,1,0,0,0,0,0,0,1,0,6,1271,152.3121667,57850.91996,1,Infiltration
3733,1827335,1271,6,489.5084383,6,6,0,0,0,0,0,0,0,1,0,6,1271,247.7542191,94792.9211,0,Infiltration
8,7366,1460,6,920.75,0,0,1,0,0,0,0,0,0,1,0,6,1460,825.1111111,434292.3611,0,Infiltration
2,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.0,0.0,0,DoS slowloris
16,2541,231,0,158.8125,6,0,0,0,0,0,0,0,1,0,0,0,231,127.35,13823.50263,0,DoS slowloris
13,2087,231,0,160.5384615,0,0,0,0,0,0,0,0,1,0,0,0,231,130.4375,13872.6625,0,DoS slowloris
13,1856,231,0,142.7692308,0,0,0,0,0,0,0,0,1,0,0,0,231,123.7333333,14093.06667,0,DoS slowloris
8,1101,410,0,137.625,3525,0,0,0,0,0,0,0,1,0,0,0,3525,354.8666667,801231.1238,0,DoS slowloris
7,932,231,0,133.1428571,0,0,0,0,0,0,0,0,1,0,0,0,231,84.72727273,13454.21818,0,DoS slowloris
14,3146,286,0,224.7142857,6,0,0,0,0,0,0,0,1,0,0,0,286,175.1111111,20461.28105,0,DoS slowloris
11,1848,231,0,168.0,0,0,0,0,0,0,0,0,1,0,0,0,231,142.1538462,13682.30769,0,DoS slowloris
8,701,231,0,87.625,0,0,0,0,0,0,0,0,1,0,0,0,231,58.41666667,10836.08333,0,DoS slowloris
15,2390,239,0,159.3333333,6,0,0,0,0,0,0,0,1,0,0,0,239,126.1052632,14744.54386,0,DoS slowloris
1,1448,1448,1448,1448.0,535,0,0,0,0,0,0,0,0,1,0,0,1448,857.75,512230.9167,2,DoS Slowhttptest
4,537,520,0,134.25,0,0,0,0,0,0,0,0,1,0,0,0,520,67.125,33520.41071,0,DoS Slowhttptest
8,1780,356,0,222.5,0,0,0,0,0,0,0,0,1,0,0,0,356,178.0,35204.44444,0,DoS Slowhttptest
14,4050,466,0,289.2857143,3525,0,0,0,0,0,0,0,1,0,0,0,3525,387.75,593358.5132,0,DoS Slowhttptest
5,537,520,0,107.4,0,0,0,0,0,0,0,0,1,0,0,0,520,59.66666667,29831.0,0,DoS Slowhttptest
18,5200,520,0,288.8888889,0,0,0,0,0,0,0,0,1,0,0,0,520,247.6190476,70819.04762,0,DoS Slowhttptest
1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.0,0.0,1,DoS Slowhttptest
4,359,351,0,89.75,0,0,0,0,0,0,0,0,1,0,0,0,351,44.875,15307.83929,0,DoS Slowhttptest
4,540,520,0,135.0,0,0,0,0,0,0,0,0,1,0,0,0,520,67.5,33478.57143,0,DoS Slowhttptest
18,3861,351,0,214.5,6,0,0,0,0,0,0,0,1,0,0,0,351,175.7727273,32168.27922,0,DoS Slowhttptest
7,385,379,0,55.0,10136,0,0,0,0,0,0,0,0,1,0,0,10136,921.5384615,7828247.269,0,DoS Hulk
7,404,380,0,57.71428571,7240,0,0,0,0,0,1,0,0,0,0,0,7240,800.3333333,3519733.381,1,DoS Hulk
5,305,293,0,61.0,4344,0,0,0,0,0,1,0,0,0,0,0,4344,915.8461538,2595662.474,1,DoS Hulk
3,333,333,0,111.0,4344,0,0,0,0,0,0,0,1,0,0,0,4344,994.0,1981985.636,2,DoS Hulk
7,289,289,0,41.28571429,7240,0,0,0,0,0,0,0,0,1,0,0,7240,848.8571429,3748876.286,0,DoS Hulk
8,368,362,0,46.0,4344,0,0,0,0,0,0,0,0,1,0,0,4344,797.5333333,2622699.838,0,DoS Hulk
5,368,356,0,73.6,5792,0,0,0,0,0,1,0,0,0,0,0,5792,920.6923077,3635125.231,1,DoS Hulk
7,359,359,0,51.28571429,8688,0,0,0,0,0,0,0,0,1,0,0,8688,919.5384615,5736953.936,0,DoS Hulk
3,309,309,0,103.0,7251,0,0,0,0,0,0,0,1,0,0,0,7251,1322.666667,6974724.25,1,DoS Hulk
5,361,355,0,72.2,5792,0,0,0,0,0,1,0,0,0,0,0,5792,996.8333333,3883309.242,1,DoS Hulk
8,526,526,0,65.75,5840,0,0,0,0,0,0,0,1,0,0,0,5840,868.4285714,4413168.11,0,DoS GoldenEye
7,582,582,0,83.14285714,4392,0,0,0,0,0,0,0,1,0,0,0,4392,872.4285714,2786899.802,0,DoS GoldenEye
7,387,387,0,55.28571429,5840,0,0,0,0,0,0,0,1,0,0,0,5840,924.5384615,4724217.103,0,DoS GoldenEye
12,2328,582,0,194.0,7240,0,0,0,0,0,0,0,1,0,0,0,7240,664.7619048,2539241.79,0,DoS GoldenEye
7,470,470,0,67.14285714,10184,0,0,0,0,0,0,0,1,0,0,0,10184,930.9230769,7897119.077,0,DoS GoldenEye
10,1533,511,0,153.3,7240,0,0,0,0,0,0,0,1,0,0,0,7240,774.4117647,3360604.507,0,DoS GoldenEye
5,639,639,0,127.8,3525,0,0,0,0,0,0,0,1,0,0,0,3525,416.4,1233339.6,0,DoS GoldenEye
11,411,411,0,37.36363636,4392,0,0,0,0,0,0,0,1,0,0,0,4392,669.0555556,2274017.703,0,DoS GoldenEye
4,663,663,0,165.75,3525,0,0,0,0,0,0,0,1,0,0,0,3525,465.3333333,1364547.25,1,DoS GoldenEye
6,425,425,0,70.83333333,3525,0,0,0,0,0,0,0,1,0,0,0,3525,359.0909091,1118784.091,0,DoS GoldenEye
2782,12264,4344,0,4.408339324,15928,0,0,0,0,0,0,0,0,1,0,0,15928,1620.054165,5894570.783,0,Heartbleed
