ip,mse
192.168.1.158,0.8432
192.168.1.158,0.857
192.168.1.158,0.8528
192.168.1.158,1.5573
192.168.1.158,1.8739
192.168.1.158,3.0984
192.168.1.50,0.8799
192.168.1.50,0.8826
192.168.1.50,1.2812
192.168.1.50,4.3005
192.168.1.50,0.2075
192.168.1.50,2.5296
192.168.1.50,1.6622
192.168.1.8,0.9206
192.168.1.50,6.451
192.168.1.50,0.4136
192.168.1.8,0.9064
192.168.1.50,2.0491
192.168.1.8,0.9171
192.168.1.8,0.9693
192.168.1.8,0.9823
192.168.1.8,6.273
192.168.1.12,0.9094
192.168.1.12,0.9007
192.168.1.12,0.9096
192.168.1.12,0.99
192.168.1.12,11.0576
192.168.1.12,0.9811
192.168.1.12,2.2321
192.168.1.158,1.1755
192.168.1.158,3.0263
192.168.1.158,2.7921
192.168.1.158,2.5229
192.168.1.158,6.5226
192.168.1.158,6.3391
192.168.1.158,2.3906
192.168.1.158,0.8809
192.168.1.50,3.0384
192.168.1.50,1.4531
192.168.1.50,1.7561
192.168.1.50,4.065
192.168.1.50,2.9741
192.168.1.50,1.8191
192.168.1.50,5.3379
192.168.1.50,2.0484
