ip,mse
192.168.1.100,0.1884
192.168.1.168,0.199
192.168.1.100,1.0073
192.168.1.100,0.1884
192.168.1.168,0.2125
192.168.1.93,1.0845
192.168.1.168,0.4127
192.168.1.100,1.4999
192.168.1.168,1.1109
192.168.1.100,0.1884
192.168.1.168,0.7573
192.168.1.93,1.092
192.168.1.168,0.4132
192.168.1.168,0.199
192.168.1.93,1.1261
192.168.1.100,1.4692
192.168.1.168,0.7573
192.168.1.93,1.1104
192.168.1.168,0.199
192.168.1.93,1.1055
192.168.1.100,0.1884
192.168.1.168,1.0484
192.168.1.100,1.4822
192.168.1.168,0.2125
192.168.1.100,0.1884
192.168.1.93,1.1057
192.168.1.168,1.1109
192.168.1.93,1.1104
192.168.1.168,0.4127
192.168.1.168,0.2125
192.168.1.168,0.4127
192.168.1.100,0.1884
192.168.1.168,0.199
192.168.1.168,0.4132
192.168.1.93,1.1104
192.168.1.168,0.199
192.168.1.168,0.199
192.168.1.93,1.1539
192.168.1.168,0.199
192.168.1.168,0.199
192.168.1.93,1.2433
192.168.1.93,1.095
192.168.1.93,1.0996
192.168.1.168,1.298
192.168.1.168,0.2125
192.168.1.168,0.189
192.168.1.100,0.1884
192.168.1.168,0.139
192.168.1.100,0.0073
192.168.1.100,0.1884
192.168.1.168,0.2429
